mode: set
server/models/annual_income.go:82.103,83.30 1 1
server/models/annual_income.go:83.30,86.3 2 1
server/models/annual_income.go:86.8,89.17 2 1
server/models/annual_income.go:89.17,91.4 1 0
server/models/annual_income.go:92.3,92.50 1 1
server/models/annual_income.go:108.112,113.16 3 1
server/models/annual_income.go:113.16,115.3 1 1
server/models/annual_income.go:117.2,118.16 2 1
server/models/annual_income.go:118.16,120.3 1 1
server/models/annual_income.go:123.2,125.16 2 1
server/models/annual_income.go:125.16,127.3 1 1
server/models/annual_income.go:128.2,130.18 2 1
server/models/annual_income.go:130.18,144.17 3 1
server/models/annual_income.go:144.17,146.4 1 1
server/models/annual_income.go:148.3,148.40 1 1
server/models/annual_income.go:151.2,151.35 1 1
server/models/annual_income.go:151.35,153.3 1 1
server/models/annual_income.go:155.2,155.24 1 1
server/models/annual_income.go:169.85,176.16 3 1
server/models/annual_income.go:176.16,178.3 1 1
server/models/annual_income.go:179.2,183.18 2 1
server/models/annual_income.go:183.18,195.17 3 1
server/models/annual_income.go:195.17,197.4 1 1
server/models/annual_income.go:200.3,211.49 5 1
server/models/annual_income.go:214.2,214.35 1 1
server/models/annual_income.go:214.35,216.3 1 1
server/models/annual_income.go:218.2,218.25 1 1
server/models/annual_income.go:232.103,239.16 3 1
server/models/annual_income.go:239.16,241.3 1 1
server/models/annual_income.go:242.2,246.18 2 1
server/models/annual_income.go:246.18,255.17 3 1
server/models/annual_income.go:255.17,257.4 1 1
server/models/annual_income.go:259.3,259.50 1 1
server/models/annual_income.go:262.2,262.35 1 1
server/models/annual_income.go:262.35,264.3 1 1
server/models/annual_income.go:266.2,266.29 1 1
server/models/annual_income.go:280.78,287.16 4 1
server/models/annual_income.go:287.16,290.3 2 1
server/models/annual_income.go:291.2,291.15 1 1
server/models/annual_income.go:291.15,292.17 1 1
server/models/annual_income.go:292.17,295.4 1 1
server/models/annual_income.go:295.9,298.4 1 1
server/models/annual_income.go:301.2,303.34 2 1
server/models/annual_income.go:303.34,325.29 3 1
server/models/annual_income.go:325.29,328.4 2 1
server/models/annual_income.go:332.2,333.16 2 1
server/models/annual_income.go:333.16,336.3 2 1
server/models/annual_income.go:338.2,340.12 2 1
server/models/annual_income.go:354.78,361.16 4 1
server/models/annual_income.go:361.16,364.3 2 1
server/models/annual_income.go:365.2,365.15 1 1
server/models/annual_income.go:365.15,366.17 1 1
server/models/annual_income.go:366.17,369.4 1 1
server/models/annual_income.go:369.9,372.4 1 1
server/models/annual_income.go:375.2,377.34 2 1
server/models/annual_income.go:377.34,399.39 2 1
server/models/annual_income.go:399.39,402.4 2 1
server/models/annual_income.go:406.2,407.16 2 1
server/models/annual_income.go:407.16,410.3 2 1
server/models/annual_income.go:412.2,414.12 2 1
server/models/annual_income.go:428.78,434.16 3 1
server/models/annual_income.go:434.16,437.3 2 1
server/models/annual_income.go:438.2,438.15 1 1
server/models/annual_income.go:438.15,439.17 1 1
server/models/annual_income.go:439.17,442.4 1 1
server/models/annual_income.go:442.9,445.4 1 1
server/models/annual_income.go:448.2,450.34 2 1
server/models/annual_income.go:450.34,451.81 1 1
server/models/annual_income.go:451.81,454.4 2 1
server/models/annual_income.go:458.2,459.16 2 1
server/models/annual_income.go:459.16,462.3 2 1
server/models/annual_income.go:464.2,466.12 2 1
